x_over_c,Cp_exp,Cp_pyfr,cfd_x_over_c,dy_m,dx_over_c,abs_error
0.49411,-0.862,-0.2553452796625734,0.49439540931156706,0.006495468442599794,0.00028540931156706417,0.6066547203374266
0.5085,-0.8483,-0.3427225657703073,0.5093172192573547,0.003794386661777026,0.0008172192573547843,0.5055774342296928
0.523,-0.85,-0.7034721731744972,0.5234981931391217,0.0012237977510732787,0.0004981931391216943,0.1465278268255028
0.53709,-0.8491,-1.2683720280009878,0.5376767899308886,0.0012166142101759023,0.0005867899308886759,0.41927202800098784
0.55199,-0.8507,-1.9771391544178614,0.5518311545962379,0.0012808400112966564,-0.00015884540376209788,1.1264391544178614
0.56632,-0.8448,0.19206776454204413,0.5662425997711363,0.003982169359881695,-7.740022886371101e-05,1.036867764542044
0.58108,-0.8362,-1.4488160857403587,0.5810151852312543,0.0023588653967347856,-6.481476874575787e-05,0.6126160857403586
0.59548,-0.8198,-1.8375656331385888,0.5951748007819766,0.0039051660430453605,-0.0003051992180234109,1.017765633138589
0.61061,-0.7949,-1.8887177305173513,0.6107758908044725,0.0024519459062205054,0.0001658908044724905,1.093817730517351
0.62486,-0.7727,-2.0918131856796025,0.6250645433153426,0.002389481733257162,0.00020454331534258685,1.3191131856796026
0.63962,-0.7061,0.141491008396036,0.6400114723614284,0.004861458156987672,0.00039147236142844655,0.847591008396036
0.6586,-0.5149,0.22019555814336317,0.6587112233752296,0.005844478238764217,0.00011122337522961878,0.7350955581433631
0.67319,-0.4182,0.3381618197925315,0.6728886848404294,0.0056269367083245925,-0.00030131515957054766,0.7563618197925315
0.68732,-0.4138,0.3004023877762153,0.6874751477014451,0.005730172500955477,0.00015514770144509082,0.7142023877762154
0.70193,-0.4108,0.24956992441564976,0.7019272872379848,0.005867195609733776,-2.7127620152445076e-06,0.6603699244156498
0.71624,-0.4155,0.395845105609782,0.7159648197037833,0.005791924225493038,-0.0002751802962166483,0.811345105609782
0.7302,-0.4249,-0.38987923792160956,0.7300717490059989,0.004301317678187335,-0.00012825099400104456,0.035020762078390444
0.74487,-0.4303,-1.4852437093475215,0.7451818812461126,0.0033450859713091557,0.0003118812461125886,1.0549437093475214
0.75879,-0.4284,0.2840690894463585,0.7584387347811744,0.007058288024109655,-0.0003512652188255583,0.7124690894463586
0.77255,-0.4303,0.5456575699386256,0.773627275512332,0.004359720463863088,0.0010772755123320543,0.9759575699386256
0.78691,-0.437,-0.6670232406327878,0.7867112755775452,0.004083782257916793,-0.00019872442245483235,0.23002324063278784
0.80177,-0.438,-4.229141938558013,0.8019929130872091,0.0013863499788200444,0.00022291308720912006,3.7911419385580127
0.8159,-0.4473,-5.023943888206194,0.8157999033019656,0.0013968631988886954,-0.00010009669803434651,4.576643888206194
0.83063,-0.4508,-4.442295210826191,0.8307359048298427,-3.5778282090476177e-09,0.00010590482984274008,3.9914952108261907
0.84434,-0.4572,0.7704774838709865,0.8445005331720625,0.006319838975569017,0.00016053317206254913,1.2276774838709865
0.85921,-0.457,-6.769614424120784,0.8588263676280068,3.0464504704300066e-05,-0.00038363237199323663,6.312614424120784
0.87351,-0.4612,0.26323960592719986,0.8737483904475258,0.0049922362533660405,0.00023839044752582694,0.7244396059271998
0.88825,-0.4508,-1.7236267601187003,0.8882940525100345,0.002727484572588608,4.4052510034475745e-05,1.2728267601187002
0.90239,-0.4482,-0.010431040452906475,0.902375082174937,0.007118382879557814,-1.4917825063021084e-05,0.4377689595470935
0.91668,-0.4318,-1.5838934218303296,0.916432057108198,0.002981578269861717,-0.0002479428918020776,1.1520934218303296
0.93107,-0.4231,0.16961880199735505,0.9311249568348839,0.004860685184729548,5.495683488399017e-05,0.592718801997355
0.94509,-0.4084,-2.9799589231085246,0.9451359510421753,0.0013626311285948756,4.595104217530732e-05,2.5715589231085247
0.95991,-0.3837,-0.19742759556531192,0.9598817853700548,0.006600979431618614,-2.8214629945289005e-05,0.18627240443468807
0.97394,-0.3624,-0.08136848355805122,0.9740173107101804,0.006722274162800642,7.731071018035607e-05,0.2810315164419488
0.9884,-0.3371,0.04357645415508072,0.9882181173279172,0.006724345187779275,-0.0001818826720827449,0.3806764541550807
1.0031,-0.3011,-0.6385118862096327,1.0033700437772841,0.002677539363503456,0.0002700437772840125,0.33741188620963275
1.0175,-0.2667,-0.6457888873572467,1.01750876222338,0.002622046275064349,8.762223379976675e-06,0.3790888873572467
1.0315,-0.2427,0.03461604717829689,1.0313095081420172,0.006433434784412384,-0.00019049185798292179,0.2773160471782969
1.0458,-0.2026,0.22923054639105958,1.0460422862143743,0.0023663754109293222,0.00024228621437427655,0.43183054639105956
1.0944,-0.1318,-1.615750278977278,1.0940837008612496,0.0,-0.00031629913875041993,1.483950278977278
1.1269,-0.0986,0.914184938452271,1.126941116083236,0.0011741967173293233,4.111608323609239e-05,1.012784938452271
1.16,-0.0883,0.29475552012140505,1.1601186933971588,0.0022493063006550074,0.0001186933971588644,0.38305552012140504
1.193,-0.0544,0.3645848986301342,1.1925568183263144,0.002688577864319086,-0.000443181673685622,0.4189848986301342
