x_over_c,x_surface_m,tx,ty,x_probe1_m,y_probe1_m,x_probe2_m,y_probe2_m
0.11,0.0462,0.9695234908970893,0.24499836856338797,0.046077500815718306,0.006566160811890129,0.045832502447154914,0.007535684302787218
0.11471,0.048178200000000004,0.9674379147545955,0.25310843742412015,0.04805164578128794,0.0070738763392661445,0.04779853734386382,0.008041314254020741
0.12,0.05039999999999999,0.9650928263892682,0.26190806870345495,0.05026904596564827,0.007664877786527227,0.05000713789694481,0.008629970612916494
0.12876,0.0540792,0.9612303276262563,0.275746726637906,0.053941326636681046,0.008690162109302443,0.05366557991004314,0.0096513924369287
0.13,0.0546,0.960687856629075,0.27763076581213764,0.054461184617093934,0.008839845621204287,0.0541835538512818,0.009800533477833362
0.14,0.058800000000000005,0.9563766911052494,0.2921363118658383,0.058653931844067086,0.01008645261721235,0.05836179553220125,0.0110428293083176
0.15,0.063,0.9522232836319746,0.30540271463944113,0.06284729864268028,0.01139980245606545,0.06254189592804084,0.012352025739697424
0.15859,0.0666078,0.9488266001059705,0.31579753471384914,0.06644990123264308,0.012577339160995219,0.06613410369792923,0.013526165761101189
0.16,0.0672,0.9482867647387717,0.3174148890982803,0.06704129255545085,0.012774733315425977,0.06672387766635257,0.013723020080164749
0.17,0.0714,0.9446209695279867,0.3281634104040342,0.07123591829479799,0.014205838121068539,0.07090775488439395,0.015150459090596527
0.17271,0.0725382,0.9436805878317532,0.3308578972149776,0.0723727710513925,0.014602612685183597,0.07204191315417753,0.01554629327301535
0.18,0.0756,0.9412741329666108,0.3376433126954467,0.07543117834365227,0.015687485840008883,0.07509353503095684,0.016628759972975492
0.18734,0.0786828,0.9390453865099763,0.34379319666673047,0.07851090340166664,0.016803804061539515,0.0781671102049999,0.01774284944804949
0.19,0.0798,0.9382887214432701,0.34585296762114576,0.07962707351618942,0.017213843714577667,0.07928122054856827,0.01815213243602094
0.2,0.084,0.9357013688522984,0.35279306729006854,0.08382360346635497,0.018778900333490042,0.0834708103990649,0.01971460170234234
0.20189,0.08479379999999999,0.9352597077076856,0.3539622566581562,0.08461681887167091,0.019078541016133876,0.08426285661501276,0.02001380072384156
0.21,0.08819999999999999,0.9335428868540183,0.35846572835386326,0.08802076713582306,0.020376489433558347,0.0876623014074692,0.021310032320412366
0.21721,0.0912282,0.9322670195371451,0.36177092791340826,0.0910473145360433,0.021544996104037754,0.09068554360812989,0.0224772631235749
0.23077,0.09692339999999999,0.9305322806271341,0.36620987795370064,0.09674029506102315,0.023771171260050978,0.09637408518306945,0.024701703540678112
0.24591,0.10328219999999999,0.9296554677628455,0.3684300629137708,0.10309798496854311,0.02628389964749945,0.10272955490562934,0.027213555115262297
0.26072,0.1095024,0.9298998873483081,0.36781272341995486,0.10931849363829002,0.028748527889857413,0.10895068091487006,0.02967842777720572
0.2747,0.11537399999999999,0.9311257887387444,0.3646981841820041,0.11519165090790899,0.031061732543015582,0.11482695272372699,0.031992858331754324
0.28942,0.1215564,0.9334314090226895,0.35875591235534593,0.12137702204382232,0.03346341560654594,0.12101826613146698,0.03439684701556863
0.3,0.126,0.9357013688522984,0.35279306729006854,0.12582360346635496,0.035156801035362256,0.1254708103990649,0.036092502404214556
0.30461,0.1279362,0.9368425849493641,0.34975129881873684,0.12776132435059062,0.03588385157833291,0.1274115730517719,0.03682069416328228
0.31,0.13019999999999998,0.9382887214432701,0.3458529676211458,0.13002707351618942,0.03672444500686559,0.12968122054856826,0.03766273372830886
0.31883,0.1339086,0.9409054127647045,0.3386694616142428,0.13373926526919286,0.03807703113655317,0.13340059580757863,0.03901793654931787
0.32,0.1344,0.9412741329666108,0.3376433126954466,0.13423117834365228,0.03825378829295773,0.13389353503095683,0.03919506242592434
0.33,0.1386,0.9446209695279867,0.32816341040403413,0.13843591829479798,0.03973878284845945,0.13810775488439395,0.040683403817987435
0.33324,0.1399608,0.9457759729006763,0.32481965624601483,0.13979839017187698,0.040209427317595824,0.13947357051563097,0.0411552032904965
0.34,0.1428,0.9482867647387717,0.3174148890982803,0.14264129255545088,0.041173553449312804,0.1423238776663526,0.042121840214051576
0.34839,0.14632379999999998,0.9515733828187641,0.3074216926484754,0.14617008915367574,0.04233442771979373,0.14586266746102727,0.0432860011026125
0.35,0.147,0.9522232836319746,0.30540271463944113,0.14684729864268026,0.04255242082756654,0.14654189592804084,0.04350464411119851
0.36,0.1512,0.9563766911052494,0.2921363118658383,0.15105393184406707,0.04386992407389291,0.15076179553220123,0.04482630076499816
0.36408,0.1529136,0.9581201169158103,0.28636662089222975,0.1527704166895539,0.044388627281920175,0.15248405006866167,0.045346747398835985
0.37,0.15539999999999998,0.960687856629075,0.2776307658121376,0.1552611846170939,0.045120842235424785,0.15498355385128176,0.04608153009205386
0.37742,0.15851639999999997,0.9639510860048135,0.26607950652040185,0.15838336024673977,0.04600305022599147,0.15811728074021938,0.046967001311996284
0.38,0.1596,0.9650928263892682,0.26190806870345507,0.15946904596564826,0.04630021503986203,0.15920713789694482,0.0472653078662513
0.39,0.1638,0.9695234908970893,0.24499836856338808,0.1636775008157183,0.04740336267900696,0.16343250244715493,0.04837288616990405
0.39194,0.1646148,0.9703800141397844,0.24158358420652654,0.16449400820789675,0.04760816872999569,0.16425242462369022,0.048578548744135475
0.4,0.168,0.9739084698394262,0.22694116500764555,0.16788652941749618,0.048425904585855814,0.16765958825248853,0.04939981305569524
0.40639,0.17068379999999997,0.9766527236253038,0.2148242477824049,0.17057638787610876,0.04903521324667137,0.17036156362832636,0.05001186597029667
0.41,0.1722,0.9781742261668898,0.2077863885407477,0.17209610680572962,0.04936377713888683,0.17188832041718888,0.05034195136505372
0.42,0.17639999999999997,0.9822464080468223,0.18759529279572879,0.17630620235360212,0.050213250225185795,0.17611860706080637,0.05119549663323261
0.42087,0.1767654,0.9825890999801398,0.18579198206655387,0.17667250400896672,0.050282860548864966,0.17648671202690017,0.05126544964884511
0.43,0.18059999999999998,0.9860514007054632,0.16644108617403988,0.18051677945691297,0.050970942590702235,0.1803503383707389,0.0519569939914077
0.43579,0.1830318,0.9881042369095764,0.15378562026842388,0.1829549071898658,0.05136649010674298,0.18280112156959735,0.052354594343652555
0.44,0.1848,0.9895180512697068,0.14440923173883913,0.18472779538413056,0.0516338359016735,0.18458338615239173,0.05262335395294321
0.45,0.189,0.992579510013711,0.12159735318230101,0.18893920132340886,0.052199287436828425,0.18881760397022654,0.05319186694684214
0.45041,0.18917219999999998,0.9926954765802554,0.12064696754207939,0.18911187651622893,0.05222035737315684,0.18899122954868686,0.0532130528497371
0.46,0.1932,0.9951751129726363,0.0981147008347907,0.1931509426495826,0.052665041326395046,0.1930528279487478,0.053660216439367685
0.46499,0.1952958,0.9962793272387362,0.08618295722897305,0.19525270852138552,0.05285957058582884,0.19516652556415653,0.05385584991306757
0.47,0.1974,0.9972522160964374,0.0740811547611429,0.19736295942261942,0.05302923825235847,0.19728887826785826,0.0540264904684549
