x_over_c,Cf_exp,Cf_uncertainty,Cf_cfd,Cf_error
0.34,0.00618,0.00019,0.005296469640502931,-0.0008835303594970688
0.35,0.00624,0.00017,0.005564453145314659,-0.0006755468546853407
0.36,0.00622,0.00019,0.005920272059656833,-0.0002997279403431667
0.37,0.00628,0.00018,0.006180156029460198,-9.98439705398018e-05
0.38,0.00627,0.00025,0.006431053959050023,0.00016105395905002297
0.39,0.00659,0.00034,0.006670065234865371,8.00652348653709e-05
0.4,0.00662,0.00029,0.0069652343593034115,0.0003452343593034115
0.41,0.00653,0.00028,0.007164500996071655,0.0006345009960716545
0.42,0.00647,0.00025,0.007340430571086264,0.0008704305710862635
0.43,0.00653,0.00033,0.00748920000369582,0.00095920000369582
0.44,0.00655,0.00025,0.0076065938527849234,0.0010565938527849232
0.45,0.00653,0.0002,0.007707689427590875,0.001177689427590875
0.46,0.0065,0.00018,0.00773596735754892,0.0012359673575489203
0.47,0.00658,0.00017,0.0077176429644580605,0.0011376429644580606
0.48,0.00653,0.00017,0.007650773916050297,0.0011207739160502966
0.49,0.00616,0.00013,0.007533533408590806,0.0013735334085908067
0.5,0.00618,0.00014,0.0073043651358419,0.0011243651358419007
0.51,0.00624,0.00013,0.007068537385772177,0.0008285373857721771
0.52,0.00627,0.00021,0.006797820731063517,0.0005278207310635162
0.53,0.00634,0.00018,0.0064867969693853675,0.00014679696938536737
0.54,0.00633,0.00016,0.00613948958803863,-0.00019051041196137004
0.55,0.00634,0.00015,0.0056291924879902835,-0.0007108075120097167
0.56,0.00629,0.0002,0.0052177838084555206,-0.001072216191544479
0.57,0.0062,0.00026,0.004786441932328278,-0.001413558067671722
0.59,0.00557,0.00023,0.0040589303796808906,-0.0015110696203191097
0.6,0.00536,0.00015,0.003712189576651135,-0.001647810423348865
0.61,0.00521,0.00022,0.00319230982781699,-0.0020176901721830104
0.62,0.00505,0.0003,0.002755847717680142,-0.002294152282319858
0.75,-0.00016,1e-05,-0.0005316331273783327,-0.0003716331273783327
0.76,-0.00016,1e-05,-0.0005562030112027035,-0.0003962030112027035
0.78,-0.00022,1e-05,-0.0006092334342910875,-0.00038923343429108747
0.79,-0.00025,1e-05,-0.00063805640721408,-0.00038805640721407996
0.8,-0.00033,1e-05,-0.0006794237165536667,-0.00034942371655366674
0.81,-0.00038,1e-05,-0.0007130186254434815,-0.00033301862544348143
0.82,-0.00046,1e-05,-0.000749207758650575,-0.00028920775865057496
0.83,-0.00055,1e-05,-0.0007883666997144943,-0.0002383666997144943
0.84,-0.00063,2e-05,-0.0008304492141551331,-0.00020044921415513308
0.85,-0.00071,3e-05,-0.0008751684299631576,-0.00016516842996315757
0.86,-0.00078,2e-05,-0.0009373453734982315,-0.0001573453734982315
0.87,-0.00089,2e-05,-0.0009840254030593493,-9.402540305934932e-05
0.88,-0.00099,2e-05,-0.001028627335406721,-3.8627335406720906e-05
0.89,-0.00108,3e-05,-0.0010692612302108185,1.0738769789181554e-05
0.9,-0.00123,3e-05,-0.0011136764381266956,0.00011632356187330438
0.91,-0.00129,3e-05,-0.0011367228124370531,0.00015327718756294679
0.92,-0.00136,3e-05,-0.001148459642652236,0.0002115403573477641
0.93,-0.00139,3e-05,-0.001146080474329382,0.00024391952567061792
0.94,-0.00138,3e-05,-0.0011283886787587765,0.0002516113212412234
0.95,-0.00144,5e-05,-0.0010939162145349435,0.00034608378546505656
0.96,-0.00144,4e-05,-0.0010197585532685858,0.00042024144673141425
0.97,-0.00146,4e-05,-0.0009413801103332307,0.0005186198896667692
0.98,-0.00146,4e-05,-0.0008425502825953395,0.0006174497174046605
0.99,-0.0014,4e-05,-0.0007215660165220953,0.0006784339834779047
1.0,-0.00135,4e-05,-0.0005708589191549251,0.000779141080845075
1.01,-0.00125,4e-05,-0.0003499201977278197,0.0009000798022721804
1.02,-0.00118,4e-05,-0.00017604414575447604,0.001003955854245524
1.03,-0.00109,4e-05,-6.2404873505936836e-06,0.0010837595126494063
1.04,-0.00096,5e-05,0.00016128569612982015,0.00112128569612982
1.05,-0.00083,3e-05,0.000326632564306955,0.001156632564306955
