iteration,U,p,k,omega
547.0,0.000227911823167,0.000151916910227,0.000320605615171,5.29273299473e-05
548.0,0.000227738574787,0.000151204840477,0.000320337141203,5.2830131525e-05
549.0,0.000227563599275,0.000150003522866,0.000320070372743,5.27348619177e-05
550.0,0.000227387037727,0.000148970447297,0.000319805088963,5.26414106261e-05
551.0,0.000227208570359,0.000148447748617,0.000319539088746,5.25491288994e-05
552.0,0.000227028653232,0.000149037828763,0.000319272025458,5.24583711777e-05
553.0,0.000226847393049,0.000150040147364,0.000319005278143,5.23697434355e-05
554.0,0.000226664491984,0.000151058995614,0.000318739244893,5.22825201853e-05
555.0,0.00022648048383,0.000151933839533,0.000318472589414,5.21971874452e-05
556.0,0.000226294724843,0.000152890945807,0.000318206979193,5.2112802953e-05
557.0,0.000226107896007,0.000155058011779,0.000317942469056,5.20299946416e-05
558.0,0.000225919912653,0.000156125568089,0.000317678225997,5.19483587398e-05
559.0,0.000225729829143,0.000153036095224,0.000317413793298,5.18686669758e-05
560.0,0.000225538889628,0.000151114552251,0.000317152190457,5.17897231653e-05
561.0,0.000225346611159,0.000149923193423,0.000316890463672,5.17119101851e-05
562.0,0.0002251527253,0.000149708446155,0.000316629359595,5.16351415355e-05
563.0,0.000224958604555,0.000149331497064,0.000316368880529,5.15594209429e-05
564.0,0.000224762057196,0.000148797490952,0.000316109160834,5.1484369015e-05
565.0,0.000224565092643,0.000148273443373,0.000315849624914,5.14107088685e-05
566.0,0.000224367559653,0.000147520840574,0.000315590134277,5.13374842165e-05
567.0,0.000224168732767,0.000146648001174,0.000315328231495,5.12649464752e-05
568.0,0.000223969064064,0.00014622376237,0.000315065527858,5.11922516468e-05
569.0,0.000223768678901,0.000146760269841,0.000314803385674,5.11205614642e-05
570.0,0.00022356734198,0.000147794182705,0.000314541593396,5.1050404462e-05
571.0,0.000223365321806,0.000148760978745,0.000314278595997,5.09809808957e-05
572.0,0.000223162949877,0.000149524274922,0.000314013929684,5.09122582114e-05
573.0,0.000222959540501,0.000150400963448,0.000313748015051,5.0844066323e-05
574.0,0.000222755155857,0.000151762568051,0.000313483633811,5.07759976982e-05
575.0,0.000222550018,0.000152841597912,0.000313217820133,5.07083863845e-05
576.0,0.000222343853645,0.000149123974738,0.000312949924596,5.06419311149e-05
577.0,0.000222136647271,0.000146455263014,0.000312681919805,5.05755658753e-05
578.0,0.000221928464729,0.000144890896742,0.000312414846606,5.05102450345e-05
579.0,0.000221719500078,0.000144370973526,0.000312146259245,5.04454671142e-05
580.0,0.000221509769006,0.000143800923928,0.000311876245895,5.0380891034e-05
581.0,0.000221299389521,0.00014319260517,0.000311605576719,5.03169922219e-05
582.0,0.000221088063665,0.000142367806174,0.000311333740322,5.02538748414e-05
583.0,0.000220875830385,0.000141370633432,0.0003110627945,5.01915231286e-05
