x_over_c,Cp_exp,Cp_pyfr,cfd_x_over_c,dx_over_c,abs_error
0.24591,-0.641,nan,0.24587735533714294,-3.264466285704537e-05,nan
0.26072,-0.6602,nan,0.26075632444449837,3.632444449835903e-05,nan
0.2747,-0.6786,nan,0.274692103266716,-7.896733283996316e-06,nan
0.28942,-0.6915,nan,0.2894214221409389,1.4221409389003625e-06,nan
0.30461,-0.708,nan,0.3046164555209024,6.455520902393097e-06,nan
0.31883,-0.7221,nan,0.318835090313639,5.090313638989041e-06,nan
0.33324,-0.7372,nan,0.3332356814624501,-4.318537549896639e-06,nan
0.34839,-0.7557,nan,0.3483963154611133,6.315461113348686e-06,nan
0.36408,-0.7578,nan,0.3640855352083842,5.535208384199741e-06,nan
0.37742,-0.7796,nan,0.37739826809792293,-2.1731902077049003e-05,nan
0.39194,-0.7905,nan,0.3919954456034161,5.544560341608218e-05,nan
0.40639,-0.8021,nan,0.4063977726868221,7.772686822116182e-06,nan
0.42087,-0.8173,nan,0.42087889852977933,8.898529779310937e-06,nan
0.43579,-0.8296,nan,0.435791803257806,1.8032578059656856e-06,nan
0.45041,-0.8378,nan,0.4504064408441385,-3.559155861476704e-06,nan
0.46499,-0.8453,nan,0.4649961491425832,6.149142583178335e-06,nan
0.47875,-0.8724,nan,0.47873736373961917,-1.2636260380838316e-05,nan
0.49411,-0.862,nan,0.49409402445668266,-1.597554331733697e-05,nan
0.5085,-0.8483,nan,0.5084954911754245,-4.508824575477632e-06,nan
0.523,-0.85,nan,0.5230712926103955,7.129261039551249e-05,nan
0.53709,-0.8491,nan,0.5370904292379107,4.292379107706523e-07,nan
0.55199,-0.8507,nan,0.5518971099739983,-9.289002600165741e-05,nan
0.56632,-0.8448,nan,0.5663499945685977,2.9994568597646598e-05,nan
0.58108,-0.8362,nan,0.5810920681272235,1.2068127223430203e-05,nan
0.59548,-0.8198,nan,0.5954786425545102,-1.3574454897913313e-06,nan
0.61061,-0.7949,nan,0.6105950900486538,-1.490995134623141e-05,nan
0.62486,-0.7727,nan,0.6248891353607178,2.9135360717802428e-05,nan
0.63962,-0.7061,nan,0.6395966760695927,-2.3323930407270765e-05,nan
0.6586,-0.5149,nan,0.6586101793107533,1.0179310753311022e-05,nan
0.67319,-0.4182,nan,0.6731801089786348,-9.891021365171504e-06,nan
0.68732,-0.4138,nan,0.6873409662927901,2.0966292790025598e-05,nan
0.70193,-0.4108,nan,0.7019215112640744,-8.488735925626933e-06,nan
0.71624,-0.4155,nan,0.7162493609246754,9.360924675405613e-06,nan
0.7302,-0.4249,nan,0.7302270758719671,2.7075871967152665e-05,nan
0.74487,-0.4303,nan,0.7448461793717884,-2.382062821160158e-05,nan
0.75879,-0.4284,nan,0.7587601741154989,-2.9825884501066824e-05,nan
0.77255,-0.4303,nan,0.7725343108177185,-1.5689182281453107e-05,nan
0.78691,-0.437,nan,0.7869114478429159,1.4478429158915063e-06,nan
0.80177,-0.438,nan,0.8017582079720876,-1.1792027912349567e-05,nan
0.8159,-0.4473,nan,0.8159034308933076,3.4308933076765413e-06,nan
0.83063,-0.4508,nan,0.8306169084140232,-1.3091585976732212e-05,nan
0.84434,-0.4572,nan,0.8443430775687808,3.0775687808182184e-06,nan
0.85921,-0.457,nan,0.8592193396318527,9.339631852678387e-06,nan
0.87351,-0.4612,nan,0.8734945030439468,-1.5496956053184796e-05,nan
0.88825,-0.4508,nan,0.8882314676330203,-1.853236697968441e-05,nan
