x_m,x_over_c,y_wall_m,pressure,Cp
-1.3418563604354858,-3.1948960962749666,0.0016434586141258478,nan,nan
-1.3418493270874023,-3.194879350208101,0.004133189562708139,nan,nan
-1.3418424129486084,-3.194862887972877,0.006622920278459787,nan,nan
-1.3418296575546265,-3.194832517987206,0.31196051836013794,nan,nan
-1.3418210744857788,-3.194812082108997,0.2981012463569641,nan,nan
-1.341599464416504,-3.194284439086914,0.29361867904663086,nan,nan
-1.3414932489395142,-3.1940315450940813,0.32160046696662903,nan,nan
-1.3414634466171265,-3.1939605871836347,0.013944191858172417,nan,nan
-1.3413788080215454,-3.1937590667179654,0.28449109196662903,nan,nan
-1.3413373231887817,-3.1936602933066234,0.008674373850226402,nan,nan
-1.3411569595336914,-3.193230856032599,0.3265179991722107,nan,nan
-1.3411515355110168,-3.193217941692897,0.0,nan,nan
-1.341026782989502,-3.192920911879767,0.26542386412620544,nan,nan
-1.340741753578186,-3.1922422704242526,0.2271764725446701,nan,nan
-1.3406720161437988,-3.1920762289138067,0.3408430218696594,nan,nan
-1.3406566381454468,-3.1920396146320162,0.2795880436897278,nan,nan
-1.3406094312667847,-3.1919272173018682,0.028855353593826294,nan,nan
-1.340579092502594,-3.1918549821490334,0.02496413327753544,nan,nan
-1.3405524492263794,-3.191791545777094,0.021072912961244583,nan,nan
-1.3405238389968872,-3.191723426183065,0.01718169078230858,nan,nan
-1.3404654264450073,-3.191584348678589,0.03266463056206703,nan,nan
-1.3404362201690674,-3.191514809926351,0.09040625393390656,nan,nan
-1.3403977155685425,-3.1914231323060536,0.011911872774362564,nan,nan
-1.3403801918029785,-3.191381409054711,0.09429758787155151,nan,nan
-1.3403490781784058,-3.191307328996204,0.0032869172282516956,nan,nan
-1.3403420448303223,-3.191290582929339,0.005776647944003344,nan,nan
-1.3403227031230927,-3.191244531245459,0.03647390753030777,nan,nan
-1.3403024673461914,-3.1911963508242653,0.08655901253223419,nan,nan
-1.3402680158615112,-3.191114323479789,0.10208024829626083,nan,nan
-1.3401771783828735,-3.1908980437687466,0.04028318449854851,nan,nan
-1.3401687145233154,-3.1908778917221796,0.08271177113056183,nan,nan
-1.3401105403900146,-3.1907393818809875,0.10611589252948761,nan,nan
-1.3400421142578125,-3.1905764625186013,0.2045625001192093,nan,nan
-1.34003484249115,-3.190559148788452,0.07886452227830887,nan,nan
-1.3399529457092285,-3.1903641564505443,0.11015153676271439,nan,nan
-1.3399343490600586,-3.1903198787144254,0.270078182220459,nan,nan
-1.3398370742797852,-3.1900882720947266,0.007828101515769958,nan,nan
-1.3397953510284424,-3.189988931020101,0.11418717354536057,nan,nan
-1.339769959449768,-3.1899284748804004,0.20012114942073822,nan,nan
-1.3397480249404907,-3.1898762498583113,0.11832108348608017,nan,nan
-1.3397006392478943,-3.1897634267807007,0.12245498597621918,nan,nan
-1.3396532535552979,-3.18965060370309,0.1265888810157776,nan,nan
-1.3396443128585815,-3.189629316329956,0.0016434586141258478,nan,nan
-1.339582622051239,-3.189482433455331,0.044381074607372284,nan,nan
-1.339542269706726,-3.189386356444586,0.13072660565376282,nan,nan
-1.3395321369171143,-3.1893622307550342,0.22308291494846344,nan,nan
-1.339497685432434,-3.1892802034105574,0.19567979872226715,nan,nan
-1.3394705057144165,-3.1892154897962297,0.07474979758262634,nan,nan
-1.3394581079483032,-3.189185971305484,0.0151493726298213,nan,nan
-1.3394312858581543,-3.1891221091860817,0.13486433029174805,nan,nan
-1.3393585085868835,-3.1889488299687705,0.33693572878837585,nan,nan
-1.3393319845199585,-3.188885677428473,0.009879554621875286,nan,nan
-1.3393187522888184,-3.1888541721162342,0.13900205492973328,nan,nan
-1.3393129110336304,-3.188840264365787,0.15150384604930878,nan,nan
-1.3392429053783417,-3.188673584234147,0.17839239537715912,nan,nan
