x_m,Cp_near_wall,Cf,tau_x_Pa
-0.6597134146341463,-0.0022988045569950167,-0.0024806977572772566,-1.81899767785
-0.6577987804878049,-0.002348014765230092,-0.002478210801440961,-1.81717409137
-0.6558841463414634,-0.002348014765230092,-0.0024757486684745733,-1.81536870652
-0.6539695121951219,-0.00239743089021493,-0.002473310894518387,-1.81358118317
-0.6520548780487805,-0.00239743089021493,-0.002470897048879627,-1.81181120551
-0.6501402439024391,-0.00239743089021493,-0.002468506952126836,-1.81005864197
-0.6482256097560977,-0.002447079949264658,-0.0024661401419004566,-1.80832315352
-0.646310975609756,-0.002447079949264658,-0.002463796244908869,-1.80660446644
-0.6443963414634146,-0.002496986065316033,-0.0024614754565805736,-1.80490272403
-0.6424817073170732,-0.002496986065316033,-0.0024591774877823092,-1.80321771428
-0.6405670731707318,-0.002496986065316033,-0.0024569014599586363,-1.80154879298
-0.6386524390243902,-0.0025471247807536046,-0.002454646646219181,-1.79989542713
-0.6367378048780488,-0.0025471247807536046,-0.002452412552483053,-1.79825725444
-0.6348231707317074,-0.0025975140545367813,-0.0024501987097218514,-1.79663393099
-0.6329085365853659,-0.0020554543330144393,-0.0024480048891083045,-1.79502528899
-0.6309939024390243,-0.0020554543330144393,-0.0024458311979848905,-1.79343140715
-0.6290792682926829,-0.002648221919961901,-0.0024436776023255033,-1.79185226052
-0.6271646341463415,-0.002648221919961901,-0.002441543745872033,-1.79028758787
-0.6252500000000001,-0.002699241351947909,-0.0024394293460645975,-1.78873718201
-0.6233353658536585,-0.0023950625196820672,-0.0024373343387377334,-1.78720099589
-0.621420731707317,-0.0023950625196820672,-0.0024352587248869942,-1.78567903024
-0.6195060975609756,-0.0027505638354748704,-0.0024332022558695033,-1.78417110274
-0.6175914634146342,-0.0027505638354748704,-0.0024311646268140715,-1.78267698984
-0.6156768292682926,-0.0028022095730128945,-0.002429145813895607,-1.78119667407
-0.6137621951219512,-0.002751340469878488,-0.002427145615780476,-1.7797300078
-0.6118475609756098,-0.002751340469878488,-0.002425163560576357,-1.77827664501
-0.6099329268292684,-0.002854196926073494,-0.002423199266208939,-1.77683630554
-0.6080182926829267,-0.002854196926073494,-0.0024212524876357036,-1.77540880971
-0.6061036585365853,-0.002854196926073494,-0.0024193228772448534,-1.77399390263
-0.6041890243902439,-0.0029065057010707667,-0.002417410043606603,-1.77259129728
-0.6022743902439025,-0.0029065057010707667,-0.002415513949353606,-1.77120096626
-0.6003597560975609,-0.002959125760320593,-0.0024136347669348065,-1.76982303602
-0.5984451219512195,-0.002959125760320593,-0.002411772362400538,-1.76845740834
-0.596530487804878,-0.002959125760320593,-0.002409926617470871,-1.76710399649
-0.5946158536585366,-0.003012115019237137,-0.0024080976111081937,-1.76576285837
-0.592701219512195,-0.003012115019237137,-0.0024062852081081685,-1.76443389484
-0.5907865853658536,-0.0030655142553567285,-0.002404489059045182,-1.76311684968
-0.5888719512195122,-0.0030655142553567285,-0.0024027089664041632,-1.76181157806
-0.5869573170731708,-0.0030655142553567285,-0.0024009450051243725,-1.76051813493
-0.5850426829268293,-0.003119297602257314,-0.00239919718207922,-1.75923652533
-0.5831280487804877,-0.003119297602257314,-0.002397465330984009,-1.75796662733
-0.5812134146341463,-0.0031734986172005414,-0.0023957491878125164,-1.75670824733
-0.5792987804878049,-0.0031734986172005414,-0.0023940483841827015,-1.75546111521
-0.5773841463414635,-0.0031734986172005414,-0.0023923625920801678,-1.75422499045
-0.5754695121951219,-0.0032281537651853136,-0.002390691579131836,-1.75299970266
-0.5735548780487805,-0.0032281537651853136,-0.002389035208974164,-1.75178515185
-0.5716402439024391,-0.0032832407386173,-0.002387393589317848,-1.750581417
-0.5697256097560977,-0.0032832407386173,-0.0023857668572901444,-1.74938859866
-0.567810975609756,-0.0032832407386173,-0.0023841549388246056,-1.74820664252
-0.5658963414634146,-0.003338739096179932,-0.002382557692143515,-1.74703544462
-0.5639817073170732,-0.003338739096179932,-0.0023809749470072366,-1.74587488013
-0.5620670731707318,-0.003394675800505641,-0.0023794065328488303,-1.74472482398
-0.5601524390243902,-0.003394675800505641,-0.002377852258958446,-1.74358513633
-0.5582378048780487,-0.003394675800505641,-0.0023763119431225326,-1.74245568357
-0.5563231707317073,-0.0034511098431715447,-0.0023747856253405167,-1.74133649503
-0.5544085365853659,-0.0034511098431715447,-0.0023732733196865233,-1.74022758103
-0.5524939024390243,-0.003508063519340445,-0.0023717747063287872,-1.73912870705
-0.5505792682926829,-0.003508063519340445,-0.002370289358434008,-1.73803956011
-0.5486646341463415,-0.003508063519340445,-0.0023688169468422202,-1.73695989885
-0.5467500000000001,-0.003565553506961186,-0.0023673571951987045,-1.73588952063
-0.5448353658536584,-0.003565553506961186,-0.0023659098139337926,-1.73482821312
-0.542920731707317,-0.003623584072157472,-0.0023644745309340945,-1.73377577679
-0.5410060975609756,-0.003623584072157472,-0.002363051229447106,-1.73273212603
-0.5390914634146342,-0.003623584072157472,-0.002361639793197642,-1.73169717558
-0.5371768292682926,-0.003682141642082789,-0.0023602399464446805,-1.73067072325
-0.5352621951219512,-0.003682141642082789,-0.002358851340389943,-1.72965251328
-0.5333475609756098,-0.003741228172548046,-0.002357473600446226,-1.728642271
-0.5314329268292683,-0.003741228172548046,-0.002356106266872414,-1.7276396593
-0.5295182926829267,-0.003741228172548046,-0.002354748856047748,-1.72664432356
-0.5276036585365853,-0.00380084588662556,-0.0023534008903929775,-1.72565591359
-0.5256890243902439,-0.00380084588662556,-0.0023520618355277554,-1.72467403755
-0.5237743902439025,-0.003861008830816453,-0.0023507311714186154,-1.72369831412
-0.5218597560975609,-0.003861008830816453,-0.0023494082657663953,-1.72272827966
-0.5199451219512194,-0.003861008830816453,-0.002348092343062254,-1.72176336552
-0.518030487804878,-0.003921771140074595,-0.002346782564681992,-1.72080295677
-0.5161158536585366,-0.003921771140074595,-0.00234547803558217,-1.71984639711
-0.5142012195121951,-0.0039831569660668574,-0.0023441778483363003,-1.71889302116
-0.5122865853658536,-0.0039831569660668574,-0.00234288102359257,-1.7179421108
-0.5103719512195122,-0.0039831569660668574,-0.0023415863973308255,-1.7169928125
-0.5084573170731708,-0.004045161695869948,-0.0023402928430209997,-1.71604430022
-0.5065426829268294,-0.004045161695869948,-0.0023389993874209777,-1.71509586032
-0.5046280487804877,-0.004107790720420794,-0.0023377048115642393,-1.71414659898
-0.5027134146341463,-0.0028151180114343185,-0.0023364075886400533,-1.71319539665
-0.5007987804878049,-0.0028151180114343185,-0.0023351061355002755,-1.71224109247
-0.4988841463414634,-0.004171036386998738,-0.002333798716267956,-1.71128241359
