x_over_c,Cp_exp,Cp_cfd,Cp_error
0.43579,-0.8296,-1.0833016546066645,-0.2537016546066645
0.45041,-0.8378,-1.1305201809360046,-0.2927201809360046
0.46499,-0.8453,-1.1597589435834825,-0.3144589435834825
0.47875,-0.8724,-1.1781627482176058,-0.30576274821760585
0.49411,-0.862,-1.1797959382855179,-0.3177959382855179
0.5085,-0.8483,-1.1696349349875412,-0.3213349349875412
0.523,-0.85,-1.1395138310011603,-0.28951383100116035
0.53709,-0.8491,-1.1072386236275893,-0.2581386236275893
0.55199,-0.8507,-1.044722132230297,-0.19402213223029707
0.56632,-0.8448,-0.9687087324231713,-0.12390873242317135
0.58108,-0.8362,-0.8933932431254533,-0.057193243125453264
0.59548,-0.8198,-0.7839331639908846,0.03586683600911533
0.61061,-0.7949,-0.6686371505579969,0.12626284944200317
0.62486,-0.7727,-0.5797568504659012,0.19294314953409886
0.63962,-0.7061,-0.47931373862348825,0.2267862613765117
0.6586,-0.5149,-0.39711850662704085,0.11778149337295918
0.67319,-0.4182,-0.35801173712121837,0.06018826287878165
0.68732,-0.4138,-0.3346110426692774,0.07918895733072262
0.70193,-0.4108,-0.3156001000111569,0.0951998999888431
0.71624,-0.4155,-0.30309911062016515,0.11240088937983483
0.7302,-0.4249,-0.2947856864091647,0.1301143135908353
0.74487,-0.4303,-0.28602123061707546,0.14427876938292455
0.75879,-0.4284,-0.27980989469748524,0.14859010530251476
0.77255,-0.4303,-0.2728013251730502,0.1574986748269498
0.78691,-0.437,-0.266123412007544,0.17087658799245597
0.80177,-0.438,-0.25975659214837893,0.17824340785162107
0.8159,-0.4473,-0.253659998713852,0.193640001286148
0.83063,-0.4508,-0.24881376607732564,0.20198623392267434
0.84434,-0.4572,-0.24285159648793986,0.21434840351206014
0.85921,-0.457,-0.23792412152715128,0.21907587847284873
0.87351,-0.4612,-0.23147413824011526,0.22972586175988474
0.88825,-0.4508,-0.2246175921585075,0.2261824078414925
0.90239,-0.4482,-0.21847740800818383,0.22972259199181616
0.91668,-0.4318,-0.20999087607356895,0.22180912392643107
0.93107,-0.4231,-0.20217078148023981,0.22092921851976016
0.94509,-0.4084,-0.1926577028117588,0.21574229718824117
0.95991,-0.3837,-0.17912064373232225,0.20457935626767773
0.97394,-0.3624,-0.1680481281457329,0.1943518718542671
0.9884,-0.3371,-0.15239326290906827,0.18470673709093174
1.0031,-0.3011,-0.13707800315631505,0.16402199684368493
1.0175,-0.2667,-0.1145106281672084,0.15218937183279158
1.0315,-0.2427,-0.09487343781107116,0.14782656218892884
1.0458,-0.2026,-0.06946811254108706,0.13313188745891294
1.0944,-0.1318,-0.016664607673165948,0.11513539232683405
1.1269,-0.0986,0.008103027197058273,0.10670302719705826
1.16,-0.0883,0.024676336592816404,0.1129763365928164
1.193,-0.0544,0.031207464335820022,0.08560746433582002
1.226,-0.0422,0.032638530411111547,0.07483853041111155
1.26,-0.0401,0.030414559111168596,0.07051455911116859
1.2938,-0.0377,0.026626594854781166,0.06432659485478116
1.3267,-0.0407,0.022078356070828857,0.06277835607082885
1.3596,-0.0432,0.0166676431224115,0.0598676431224115
1.3926,-0.0432,0.012108170015206107,0.05530817001520611
1.4266,-0.0533,0.007885444454453473,0.06118544445445347
1.4597,-0.0564,0.0035560471783662763,0.05995604717836628
1.4931,-0.0597,0.00021205733886477585,0.05991205733886478
1.5268,-0.064,-0.0027383708158447238,0.06126162918415528
1.5593,-0.0662,-0.005669905876605231,0.060530094123394766
1.5933,-0.0684,-0.007892366222939332,0.06050763377706067
1.6265,-0.0736,-0.009836192058499251,0.06376380794150074
1.6594,-0.0763,-0.011765300434954856,0.06453469956504515
1.6927,-0.0769,-0.013237053512742266,0.06366294648725773
1.7258,-0.0797,-0.014540645469800776,0.06515935453019922
1.7594,-0.0802,-0.015861395196361427,0.06433860480363857
1.7923,-0.0821,-0.016899195698864403,0.0652008043011356
1.8259,-0.0788,-0.017852071994745044,0.06094792800525495
1.859,-0.0786,-0.018739804917017478,0.05986019508298253
1.8926,-0.0817,-0.01970122671364196,0.061998773286358035
1.9254,-0.0809,-0.020518421231731452,0.06038157876826855
1.9588,-0.0816,-0.021338123434195597,0.06026187656580441
1.9918,-0.0796,-0.022251331723419334,0.05734866827658067
2.0248,-0.0783,-0.022326104843542534,0.05597389515645746
2.0582,-0.0769,-0.022326104843542534,0.05457389515645746
2.0922,-0.0744,-0.022326104843542534,0.05207389515645746
2.125,-0.0701,-0.022326104843542534,0.04777389515645746
