iteration,U,p,k,omega
61.0,0.00138984941244,0.00522624935476,0.00209024458572,0.000642739636043
62.0,0.00138519526455,0.00501744516615,0.00205713821309,0.000632633784402
63.0,0.00138117060397,0.00482632736629,0.00202558776133,0.000622534336704
64.0,0.00137767064963,0.00463954831665,0.00199507709324,0.000612419527176
65.0,0.00137421508106,0.00446794328528,0.00196556048456,0.000602352200979
66.0,0.00137046647212,0.00429910211989,0.00193732607711,0.000592960966044
67.0,0.00136629187661,0.00413845907792,0.00191053588255,0.000584508521871
68.0,0.00136188917568,0.00399335575251,0.00188522592508,0.000576272376068
69.0,0.0013572876779,0.00386574553829,0.0018612696053,0.000568145108153
70.0,0.00135246836511,0.0037433054885,0.00183826701816,0.000560196767362
71.0,0.00134742574667,0.00362852371467,0.00181578160228,0.000552354231436
72.0,0.0013423433184,0.00351852138093,0.00179403819439,0.000544676215138
73.0,0.00133705390873,0.00343523136246,0.00177320675599,0.000537492539977
74.0,0.00133147499035,0.00336355495019,0.00175346765556,0.00053053210446
75.0,0.00132558298879,0.0032892545586,0.00173447153177,0.000524059173441
76.0,0.00131939006426,0.00321412053483,0.00171630836262,0.000517636462923
77.0,0.00131274803346,0.00314396477561,0.00169896114338,0.00051128882459
78.0,0.00130566327957,0.00306716101237,0.00168218018415,0.000504984053642
79.0,0.00129822608266,0.00298810212291,0.00166612535944,0.000499033360442
80.0,0.0012903951409,0.00292450888745,0.00165054540039,0.000493236947151
81.0,0.0012822055284,0.00287910545047,0.00163548806209,0.000487522363643
82.0,0.00127371261562,0.00284601359169,0.0016209179059,0.000481920901736
83.0,0.00126506300419,0.00280635671266,0.00160692716931,0.000476594654476
84.0,0.00125632691834,0.00278135810573,0.00159349860062,0.000471360334376
85.0,0.00124751978702,0.00276230746743,0.00158032969013,0.000466227717341
86.0,0.0012387016432,0.00273268136584,0.00156759207109,0.000461225954827
87.0,0.00122996140131,0.00270632989123,0.00155528424308,0.000456331592811
88.0,0.00122132630708,0.00267447209136,0.00154341682061,0.000451533413678
89.0,0.00121285661838,0.00263208619468,0.00153207751917,0.000446826784171
